Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Kula Cloth,Personal Hygiene,,1,0.4,ounce,https://www.rei.com/product/182956/kula-cloth-reusable-antimicrobial-pee-cloth,20,,
Deuce #2 Ultralight Trowel,Personal Hygiene,,1,0.6,ounce,https://www.rei.com/product/131611/thetentlab-the-deuce-2-ul-backcountry-trowel,19.95,,
Cleanwaste WAG Bag,Personal Hygiene,,1,2.5,ounce,https://www.rei.com/product/692303/cleanwaste-go-anywhere-toilet-kit-waste-bag,2.95,,
Toilet Paper,Personal Hygiene,,1,0.1,ounce,,0,,
BearVault BV500 Journey,Food,,1,2.8,pound,https://www.rei.com/product/768902/bearvault-bv500-journey-bear-canister,94.95,,
Sea-to-Summit Spork,Food,,1,0.4,ounce,https://www.rei.com/product/899045/sea-to-summit-alpha-light-spork-long,11.95,,
Enamel Cup,Food,,1,6,ounce,,0,,
JetBoil Flash,Food,,1,13,ounce,https://www.rei.com/product/127968/jetboil-flash-cooking-system?CAWELAID=120217890004687446&cm_mmc=PLA_Google%7C21700000001700551_1279680001%7C92700074207362433%7CNB%7C71700000062011493&gclsrc=3p.ds&&gclid=066f017c3654140f941065b7c5b6c99e&gclsrc=3p.ds&msclkid=066f017c3654140f941065b7c5b6c99e,139,,
Jetboil Jetpower Fuel - 100g,Food,,1,7,ounce,https://www.rei.com/product/728384/jetboil-jetpower-fuel-353-oz-100g,6,,Consumable
Quaker Instant Oatmeal,Food,,4,0.98,ounce,,5,,Consumable
Snack Bars,Food,,6,2.4,ounce,,0,,Consumable
Lenny & Larry's Complete Cookie,Food,,1,4,ounce,https://www.rei.com/product/890488/lenny-larrys-complete-cookie,3,,Consumable
Banana,Food,,1,2,ounce,,0.39,,Consumable
Chocolate Bar,Food,,1,2,ounce,,4,,Consumable
Instant Coffee,Food,,1,1,ounce,,0,,Consumable
Truvia,Food,,1,1,ounce,,0,,Consumable
Instant Espresso Packets,Food,,2,0.4,ounce,,0,,Consumable
Cocoa,Food,,2,1,ounce,,0,,Consumable
Platypus Big Zip™ EVO,Hydration,,1,6,ounce,https://www.platy.com/reservoirs/big-zip-evo/big-zip-evo.html,49.95,,
Katadyn Hiker Pro Microfilter,Hydration,,1,11,ounce,https://www.rei.com/product/116363/katadyn-hiker-pro-clear-microfilter,89.95,,
Platypus SoftBottle Water Bottle - 2L,Hydration,,1,1.3,pound,https://www.platy.com/bottles/platy-2.0l-bottle/07601.html,18.95,,
Water (1L),Hydration,,1.5,2.2,pound,,0,,Consumable
